user_id,system_name,access_level
user_1003,/resource/23,read
user_1003,/resource/75,admin
user_1003,/resource/57,admin
user_1003,/system/delete,admin
user_1003,/resource/8,read
user_1004,/resource/77,write
user_1005,/resource/84,write
user_1005,/resource/86,write
user_1007,/resource/56,read
user_1008,/resource/43,read
user_1008,/resource/32,write
user_1008,/resource/1,read
user_1008,/resource/73,read
user_1009,/resource/67,read
user_1009,/resource/95,write
user_1009,/resource/12,read
user_1009,/resource/72,write
user_1009,/admin/config,write
user_1010,/resource/41,read
user_1011,/resource/79,read
user_1012,/resource/94,write
user_1012,/resource/68,write
user_1014,/resource/6,write
user_1014,/resource/99,admin
user_1014,/resource/73,write
user_1014,/resource/21,write
user_1016,/resource/1,write
user_1020,/resource/10,admin
user_1020,/resource/11,write
user_1028,/resource/59,read
user_1030,/resource/60,read
user_1031,/resource/83,read
user_1033,/resource/7,read
user_1036,/resource/98,read
user_1036,/resource/59,read
user_1036,/resource/53,read
user_1036,/resource/82,admin
user_1037,/config/modify,write
user_1037,/resource/98,admin
user_1037,/resource/44,write
user_1037,/resource/54,read
user_1037,/resource/62,write
user_1038,/resource/28,admin
user_1038,/resource/16,read
user_1043,/resource/17,read
user_1043,/resource/63,write
user_1044,/resource/80,read
user_1044,/resource/94,read
user_1047,/resource/3,write
user_1047,/resource/27,write
user_1051,/resource/48,read
user_1061,/resource/89,admin
user_1061,/resource/90,read
user_1061,/resource/85,admin
user_1061,/resource/51,read
user_1064,/resource/87,read
user_1064,/resource/90,write
user_1064,/resource/21,read
user_1064,/resource/13,admin
user_1066,/resource/44,write
user_1066,/resource/51,write
user_1067,/resource/67,read
user_1067,/resource/64,read
user_1068,/resource/4,admin
user_1068,/resource/41,read
user_1068,/resource/47,write
user_1068,/resource/16,write
user_1068,/resource/32,admin
user_1072,/config/modify,admin
user_1072,/resource/18,admin
user_1072,/resource/15,write
user_1074,/resource/38,admin
user_1074,/resource/12,write
user_1074,/resource/91,read
user_1076,/resource/55,read
user_1077,/resource/34,read
user_1077,/resource/3,read
user_1077,/resource/95,admin
user_1077,/resource/82,write
user_1077,/resource/49,read
user_1079,/resource/80,read
user_1079,/resource/89,read
user_1081,/resource/3,read
user_1081,/resource/26,read
user_1081,/resource/59,read
user_1081,/resource/45,read
user_1081,/resource/5,write
user_1082,/resource/12,read
user_1082,/resource/93,read
user_1082,/resource/32,write
user_1086,/resource/86,write
user_1086,/resource/11,write
user_1086,/resource/99,read
user_1086,/resource/56,read
user_1092,/resource/38,read
user_1092,/resource/97,write
user_1095,/resource/79,read
user_1095,/resource/54,read
user_1096,/resource/61,read
user_1096,/resource/2,admin
user_1096,/resource/79,admin
user_1096,/resource/11,admin
user_1098,/resource/29,read
user_1098,/resource/89,write
user_1103,/resource/11,read
user_1108,/system/delete,read
user_1108,/resource/85,write
user_1108,/resource/41,write
user_1111,/resource/88,read
user_1111,/resource/91,write
user_1113,/resource/96,write
user_1113,/resource/24,write
user_1113,/resource/72,admin
user_1113,/resource/93,admin
user_1113,/resource/53,read
user_1115,/resource/55,read
user_1115,/resource/81,read
user_1115,/resource/99,write
user_1115,/resource/50,write
user_1116,/resource/38,read
user_1116,/resource/70,read
user_1116,/resource/53,read
user_1116,/resource/24,read
user_1116,/resource/19,read
user_1118,/resource/19,read
user_1119,/resource/81,admin
user_1124,/resource/95,read
user_1125,/resource/54,write
user_1125,/resource/88,read
user_1126,/resource/75,write
user_1126,/resource/14,read
user_1127,/admin/config,read
user_1127,/resource/64,read
user_1127,/resource/87,read
user_1131,/resource/61,write
user_1131,/resource/95,write
user_1131,/resource/97,write
user_1131,/resource/6,read
user_1133,/resource/15,read
user_1133,/resource/88,write
user_1133,/resource/27,read
user_1134,/resource/99,write
user_1134,/resource/17,admin
user_1134,/resource/4,write
user_1137,/resource/66,read
user_1137,/resource/99,read
user_1137,/resource/87,read
user_1137,/resource/60,write
user_1141,/resource/22,write
user_1144,/resource/32,read
user_1144,/resource/83,write
user_1146,/resource/34,admin
user_1146,/resource/7,write
user_1146,/resource/90,read
user_1146,/resource/28,write
user_1152,/resource/35,write
user_1152,/admin/config,read
user_1152,/resource/59,read
user_1153,/config/modify,read
user_1154,/resource/74,read
user_1154,/resource/66,write
user_1154,/resource/51,read
user_1154,/resource/58,write
user_1154,/resource/70,read
